age,parch,sibsp,title,class,sex,embarked,cabinLetter,NumberCabin,target
22.0,0,1,12,3,2,3,8,200,0
38.0,0,1,13,1,1,1,2,85,1
26.0,0,0,9,3,1,3,8,200,1
35.0,0,1,13,1,1,3,2,123,1
35.0,0,0,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,2,8,200,0
54.0,0,0,12,1,2,3,4,46,0
2.0,1,3,8,3,2,3,8,200,0
27.0,2,0,13,3,1,3,8,200,1
14.0,0,1,13,2,1,1,8,200,1
4.0,1,1,9,3,1,3,6,6,1
58.0,0,0,9,1,1,3,2,103,1
20.0,0,0,12,3,2,3,8,200,0
39.0,5,1,12,3,2,3,8,200,0
14.0,0,0,9,3,1,3,8,200,0
55.0,0,0,13,2,1,3,8,200,1
2.0,1,4,8,3,2,2,8,200,0
29.69911764705882,0,0,12,2,2,3,8,200,1
31.0,0,1,13,3,1,3,8,200,0
29.69911764705882,0,0,13,3,1,1,8,200,1
35.0,0,0,12,2,2,3,8,200,0
34.0,0,0,12,2,2,3,3,56,1
15.0,0,0,9,3,1,2,8,200,1
28.0,0,0,12,1,2,3,9,6,1
8.0,1,3,9,3,1,3,8,200,0
38.0,5,1,13,3,1,3,8,200,1
29.69911764705882,0,0,12,3,2,1,8,200,0
19.0,2,3,12,1,2,3,2,23,0
29.69911764705882,0,0,9,3,1,2,8,200,1
29.69911764705882,0,0,12,3,2,3,8,200,0
40.0,0,0,2,1,2,1,8,200,0
29.69911764705882,0,1,13,1,1,1,1,78,1
29.69911764705882,0,0,9,3,1,2,8,200,1
66.0,0,0,12,2,2,3,8,200,0
28.0,0,1,12,1,2,1,8,200,0
42.0,0,1,12,1,2,3,8,200,0
29.69911764705882,0,0,12,3,2,1,8,200,1
21.0,0,0,12,3,2,3,8,200,0
18.0,0,2,9,3,1,3,8,200,0
14.0,0,1,9,3,1,1,8,200,1
40.0,0,1,13,3,1,3,8,200,0
27.0,0,1,13,2,1,3,8,200,0
29.69911764705882,0,0,12,3,2,1,8,200,0
3.0,2,1,9,2,1,1,8,200,1
19.0,0,0,9,3,1,2,8,200,1
29.69911764705882,0,0,12,3,2,3,8,200,0
29.69911764705882,0,1,12,3,2,2,8,200,0
29.69911764705882,0,0,9,3,1,2,8,200,1
29.69911764705882,0,2,12,3,2,1,8,200,0
18.0,0,1,13,3,1,3,8,200,0
7.0,1,4,8,3,2,3,8,200,0
21.0,0,0,12,3,2,3,8,200,0
49.0,0,1,13,1,1,1,3,33,1
29.0,0,1,13,2,1,3,8,200,1
65.0,1,0,12,1,2,1,1,30,0
29.69911764705882,0,0,12,1,2,3,2,52,1
21.0,0,0,9,2,1,3,8,200,1
28.5,0,0,12,3,2,1,8,200,0
5.0,2,1,9,2,1,3,8,200,1
11.0,2,5,8,3,2,3,8,200,0
22.0,0,0,12,3,2,1,8,200,0
38.0,0,0,9,1,1,3,1,28,1
45.0,0,1,12,1,2,3,2,83,0
4.0,2,3,8,3,2,3,8,200,0
29.69911764705882,0,0,12,1,2,1,8,200,0
29.69911764705882,1,1,8,3,2,1,8,200,1
29.0,0,0,13,2,1,3,5,33,1
19.0,0,0,12,3,2,3,8,200,0
17.0,2,4,9,3,1,3,8,200,1
26.0,0,2,12,3,2,3,8,200,0
32.0,0,0,12,2,2,3,8,200,0
16.0,2,5,9,3,1,3,8,200,0
21.0,0,0,12,2,2,3,8,200,0
26.0,0,1,12,3,2,1,8,200,0
32.0,0,0,12,3,2,3,8,200,1
25.0,0,0,12,3,2,3,5,73,0
29.69911764705882,0,0,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
0.83,2,0,8,2,2,3,8,200,1
30.0,0,0,9,3,1,3,8,200,1
22.0,0,0,12,3,2,3,8,200,0
29.0,0,0,12,3,2,3,8,200,1
29.69911764705882,0,0,9,3,1,2,8,200,1
28.0,0,0,12,1,2,3,8,200,0
17.0,0,0,9,2,1,3,8,200,1
33.0,0,3,13,3,1,3,8,200,1
16.0,3,1,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
23.0,2,3,9,1,1,3,2,23,1
24.0,0,0,12,3,2,3,8,200,0
29.0,0,0,12,3,2,3,8,200,0
20.0,0,0,12,3,2,3,8,200,0
46.0,0,1,12,1,2,3,4,31,0
26.0,2,1,12,3,2,3,8,200,0
59.0,0,0,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
71.0,0,0,12,1,2,1,9,5,0
23.0,1,0,12,1,2,1,3,10,1
34.0,1,0,13,2,1,3,8,200,1
34.0,0,1,12,2,2,3,8,200,0
28.0,0,0,9,3,1,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
21.0,1,0,12,1,2,3,3,26,0
33.0,0,0,12,3,2,3,8,200,0
37.0,0,2,12,3,2,3,8,200,0
28.0,0,0,12,3,2,3,8,200,0
21.0,0,0,9,3,1,3,8,200,1
29.69911764705882,0,0,12,3,2,3,8,200,1
38.0,0,0,12,3,2,3,8,200,0
29.69911764705882,0,1,9,3,1,2,8,200,1
47.0,0,0,12,1,2,3,2,110,0
14.5,0,1,9,3,1,1,8,200,0
22.0,0,0,12,3,2,3,8,200,0
20.0,0,1,9,3,1,3,8,200,0
17.0,0,0,9,3,1,1,8,200,0
21.0,0,0,12,3,2,3,8,200,0
70.5,0,0,12,3,2,2,8,200,0
29.0,0,1,12,2,2,3,8,200,0
24.0,1,0,12,1,2,1,1,58,0
2.0,2,4,9,3,1,3,8,200,0
21.0,0,2,12,2,2,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
32.5,0,1,12,2,2,1,8,200,0
32.5,0,0,9,2,1,3,4,101,1
54.0,1,0,12,1,2,3,3,26,0
12.0,0,1,8,3,2,1,8,200,1
29.69911764705882,0,0,12,3,2,2,8,200,0
24.0,0,0,12,3,2,3,8,200,1
29.69911764705882,1,1,9,3,1,1,5,69,1
45.0,0,0,12,3,2,3,8,200,0
33.0,0,0,12,3,2,1,8,200,0
20.0,0,0,12,3,2,3,8,200,0
47.0,0,1,13,3,1,3,8,200,0
29.0,0,1,13,2,1,3,8,200,1
25.0,0,0,12,2,2,3,8,200,0
23.0,0,0,12,2,2,1,8,200,0
19.0,2,0,9,1,1,3,3,47,1
37.0,0,1,12,1,2,3,2,123,0
16.0,0,0,12,3,2,3,8,200,0
24.0,0,0,12,1,2,1,1,86,0
29.69911764705882,2,0,13,3,1,1,8,200,0
22.0,0,0,9,3,1,3,8,200,1
24.0,0,1,13,3,1,3,8,200,1
19.0,0,0,12,3,2,2,8,200,0
18.0,0,0,12,2,2,3,8,200,0
19.0,1,1,12,2,2,3,8,200,0
27.0,0,0,12,3,2,3,8,200,1
9.0,2,2,9,3,1,3,8,200,0
36.5,2,0,12,2,2,3,5,2,0
42.0,0,0,15,2,2,3,8,200,0
51.0,0,0,15,2,2,3,8,200,0
22.0,0,1,13,1,1,3,2,2,1
55.5,0,0,12,3,2,3,8,200,0
40.5,2,0,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
51.0,1,0,12,1,2,1,8,200,0
16.0,0,0,9,3,1,2,8,200,1
30.0,0,0,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
29.69911764705882,2,8,8,3,2,3,8,200,0
44.0,1,0,12,3,2,3,8,200,0
40.0,0,0,13,2,1,3,8,200,1
26.0,0,0,12,3,2,3,8,200,0
17.0,0,0,12,3,2,3,8,200,0
1.0,1,4,8,3,2,3,8,200,0
9.0,2,0,8,3,2,3,8,200,1
29.69911764705882,1,0,13,1,1,3,4,33,1
45.0,4,1,13,3,1,3,8,200,0
29.69911764705882,0,0,12,1,2,3,8,200,0
28.0,0,0,12,3,2,3,8,200,0
61.0,0,0,12,1,2,3,1,19,0
4.0,1,4,8,3,2,2,8,200,0
1.0,1,1,9,3,1,3,8,200,1
21.0,0,0,12,3,2,3,8,200,0
56.0,0,0,12,1,2,1,9,7,0
18.0,1,1,12,3,2,3,8,200,0
29.69911764705882,1,3,8,3,2,3,8,200,0
50.0,0,0,9,1,1,1,2,49,0
30.0,0,0,12,2,2,3,8,200,0
36.0,0,0,12,3,2,3,8,200,0
29.69911764705882,2,8,9,3,1,3,8,200,0
29.69911764705882,0,0,12,2,2,1,8,200,0
9.0,2,4,8,3,2,3,8,200,0
1.0,1,2,8,2,2,3,5,4,1
4.0,2,0,9,3,1,3,8,200,1
29.69911764705882,0,0,12,1,2,3,9,32,0
29.69911764705882,0,1,13,3,1,2,8,200,1
45.0,0,0,12,1,2,3,8,200,1
40.0,1,1,12,3,2,2,8,200,0
36.0,0,0,12,3,2,3,8,200,0
32.0,0,0,13,2,1,3,8,200,1
19.0,0,0,12,2,2,3,8,200,0
19.0,0,1,9,3,1,3,8,200,1
3.0,1,1,8,2,2,3,5,2,1
44.0,0,0,13,1,1,1,1,4,1
58.0,0,0,9,1,1,1,1,80,1
29.69911764705882,0,0,12,3,2,2,8,200,0
42.0,1,0,12,3,2,3,8,200,0
29.69911764705882,0,0,9,3,1,2,8,200,1
24.0,0,0,9,2,1,3,8,200,0
28.0,0,0,12,3,2,3,8,200,0
29.69911764705882,2,8,12,3,2,3,8,200,0
34.0,0,0,12,3,2,3,8,200,0
45.5,0,0,12,3,2,1,8,200,0
18.0,0,0,12,3,2,3,8,200,1
2.0,1,0,9,3,1,3,6,6,0
32.0,0,1,12,3,2,3,8,200,0
26.0,0,0,12,3,2,1,8,200,1
16.0,0,0,9,3,1,2,8,200,1
40.0,0,0,12,1,2,1,9,31,1
24.0,0,0,12,3,2,3,8,200,0
35.0,0,0,9,2,1,3,8,200,1
22.0,0,0,12,3,2,3,8,200,0
30.0,0,0,12,2,2,3,8,200,0
29.69911764705882,0,1,12,3,2,2,8,200,0
31.0,0,1,9,1,1,1,3,36,1
27.0,0,0,9,3,1,3,8,200,1
42.0,0,1,12,2,2,3,8,200,0
32.0,0,0,9,1,1,1,3,15,1
30.0,0,0,12,2,2,3,8,200,0
16.0,0,0,12,3,2,3,8,200,1
27.0,0,0,12,2,2,3,8,200,0
51.0,0,0,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
38.0,0,1,12,1,2,3,2,93,1
22.0,0,0,12,3,2,3,8,200,0
19.0,0,0,12,2,2,3,8,200,1
20.5,0,0,12,3,2,3,8,200,0
18.0,0,0,12,2,2,3,8,200,0
29.69911764705882,1,3,9,3,1,3,8,200,0
35.0,0,1,13,1,1,3,2,83,1
29.0,0,0,12,3,2,3,8,200,0
59.0,0,0,12,2,2,3,8,200,0
5.0,2,4,9,3,1,3,8,200,1
24.0,0,0,12,2,2,3,8,200,0
29.69911764705882,0,0,9,3,1,3,8,200,0
44.0,0,1,12,2,2,3,8,200,0
8.0,2,0,9,2,1,3,8,200,1
19.0,0,0,12,2,2,3,8,200,0
33.0,0,0,12,2,2,3,8,200,0
29.69911764705882,0,1,9,3,1,1,8,200,0
29.69911764705882,0,1,9,3,1,2,8,200,1
29.0,0,0,12,2,2,3,8,200,0
22.0,0,0,12,3,2,3,8,200,0
30.0,0,0,12,3,2,1,8,200,0
44.0,0,2,4,1,2,2,2,78,0
25.0,0,0,9,3,1,3,8,200,0
24.0,2,0,13,2,1,3,8,200,1
37.0,1,1,12,1,2,3,3,35,1
54.0,0,1,15,2,2,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
29.0,1,1,13,3,1,3,6,6,0
62.0,0,0,12,1,2,3,2,87,0
30.0,0,1,12,3,2,3,8,200,0
41.0,2,0,13,3,1,3,8,200,0
29.0,2,0,13,3,1,1,8,200,1
29.69911764705882,0,0,13,1,1,1,8,200,1
30.0,0,0,9,1,1,3,1,77,1
35.0,0,0,9,1,1,1,8,200,1
50.0,1,0,13,2,1,3,8,200,1
29.69911764705882,0,0,12,3,2,2,8,200,0
3.0,2,4,8,3,2,3,8,200,1
52.0,1,1,12,1,2,3,4,67,0
40.0,0,0,12,1,2,3,1,94,0
29.69911764705882,0,0,9,3,1,2,8,200,0
36.0,0,0,12,2,2,3,8,200,0
16.0,1,4,12,3,2,3,8,200,0
25.0,0,1,12,3,2,3,8,200,1
58.0,1,0,13,1,1,3,2,125,1
35.0,0,0,9,1,1,3,2,99,1
29.69911764705882,0,0,12,1,2,3,8,200,0
25.0,0,0,12,3,2,3,8,200,1
41.0,1,0,13,2,1,3,8,200,1
37.0,1,0,12,1,2,1,2,118,0
29.69911764705882,0,0,9,3,1,2,8,200,1
63.0,0,1,9,1,1,3,3,7,1
45.0,0,0,9,3,1,3,8,200,0
29.69911764705882,0,0,12,2,2,3,8,200,0
7.0,1,4,8,3,2,2,8,200,0
35.0,1,1,13,3,1,3,8,200,1
65.0,0,0,12,3,2,2,8,200,0
28.0,0,0,12,3,2,3,8,200,0
16.0,0,0,12,3,2,3,8,200,0
19.0,0,0,12,3,2,3,8,200,1
29.69911764705882,0,0,12,1,2,3,9,19,0
33.0,0,0,12,3,2,1,8,200,0
30.0,0,0,12,3,2,3,8,200,1
22.0,0,0,12,3,2,3,8,200,0
42.0,0,0,12,2,2,3,8,200,1
22.0,0,0,9,3,1,2,8,200,1
26.0,0,0,9,1,1,3,8,200,1
19.0,0,1,13,1,1,1,1,49,1
36.0,0,0,12,2,2,1,3,203,0
24.0,0,0,9,3,1,3,8,200,0
24.0,0,0,12,3,2,3,8,200,0
29.69911764705882,0,0,12,1,2,1,8,200,0
23.5,0,0,12,3,2,1,8,200,0
2.0,2,1,9,1,1,3,2,22,0
29.69911764705882,0,0,12,1,2,3,2,106,1
50.0,1,0,13,1,1,1,1,58,1
29.69911764705882,0,0,9,3,1,2,8,200,1
29.69911764705882,0,2,12,3,2,2,8,200,1
19.0,0,0,12,3,2,3,8,200,0
29.69911764705882,0,0,9,2,1,2,4,101,1
29.69911764705882,0,0,12,3,2,3,8,200,0
0.92,2,1,8,1,2,3,2,22,1
29.69911764705882,0,0,9,1,1,1,8,200,1
17.0,0,1,13,1,1,1,2,65,1
30.0,0,1,12,2,2,1,8,200,0
30.0,0,0,9,1,1,1,4,36,1
24.0,0,0,9,1,1,1,2,54,1
18.0,2,2,9,1,1,1,1,57,1
26.0,1,1,13,2,1,3,8,200,0
28.0,0,0,12,3,2,3,8,200,0
43.0,1,1,12,2,2,3,8,200,0
26.0,0,0,9,3,1,3,8,200,1
24.0,0,1,13,2,1,3,8,200,1
54.0,0,0,4,2,2,3,8,200,0
31.0,2,0,9,1,1,3,2,7,1
40.0,1,1,13,1,1,1,4,34,1
22.0,0,0,12,3,2,3,8,200,0
27.0,0,0,12,3,2,3,8,200,0
30.0,0,0,9,2,1,2,8,200,1
22.0,1,1,13,2,1,3,8,200,1
29.69911764705882,2,8,12,3,2,3,8,200,0
36.0,0,0,9,1,1,1,2,32,1
61.0,0,0,12,3,2,3,8,200,0
36.0,0,0,13,2,1,3,3,203,1
31.0,1,1,13,3,1,3,8,200,1
16.0,1,0,9,1,1,1,1,18,1
29.69911764705882,0,2,9,3,1,2,8,200,1
45.5,0,0,12,1,2,3,2,124,0
38.0,1,0,12,1,2,3,2,91,0
16.0,0,2,12,3,2,3,8,200,0
29.69911764705882,0,1,13,1,1,3,8,200,1
29.69911764705882,0,0,12,3,2,3,8,200,0
29.0,0,1,12,1,2,3,2,2,0
41.0,0,0,9,1,1,1,4,40,1
45.0,0,0,12,3,2,3,8,200,1
45.0,0,0,12,1,2,3,7,201,0
2.0,1,1,8,2,2,3,5,2,1
24.0,2,3,9,1,1,3,2,23,1
28.0,0,0,12,2,2,3,8,200,0
25.0,0,0,12,2,2,3,8,200,0
36.0,0,0,12,2,2,3,8,200,0
24.0,0,0,9,2,1,3,5,33,1
40.0,0,0,9,2,1,3,8,200,1
29.69911764705882,0,1,13,3,1,3,8,200,1
3.0,1,1,8,3,2,3,8,200,1
42.0,0,0,12,3,2,3,8,200,0
23.0,0,0,12,3,2,3,8,200,0
29.69911764705882,0,0,12,1,2,3,2,128,0
15.0,1,1,12,3,2,1,8,200,0
25.0,0,1,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,1,8,200,0
28.0,0,0,12,3,2,3,8,200,0
22.0,1,0,9,1,1,3,4,33,1
38.0,0,0,9,2,1,3,8,200,0
29.69911764705882,0,0,9,3,1,2,8,200,1
29.69911764705882,0,0,9,3,1,2,8,200,1
40.0,4,1,12,3,2,3,8,200,0
29.0,0,1,12,2,2,1,8,200,0
45.0,1,0,13,3,1,1,8,200,0
35.0,0,0,12,3,2,3,8,200,0
29.69911764705882,0,1,12,3,2,2,8,200,0
30.0,0,0,12,3,2,3,8,200,0
60.0,0,1,13,1,1,1,3,37,1
29.69911764705882,0,0,13,3,1,1,8,200,1
29.69911764705882,0,0,9,3,1,2,8,200,1
24.0,0,0,11,1,1,1,1,35,1
25.0,0,1,12,1,2,1,4,50,1
18.0,0,1,12,3,2,3,8,200,0
19.0,0,0,12,3,2,3,8,200,0
22.0,0,0,12,1,2,1,8,200,0
3.0,1,3,9,3,1,3,8,200,0
29.69911764705882,0,1,13,1,1,1,8,200,1
22.0,0,0,9,3,1,3,8,200,1
27.0,2,0,12,1,2,1,2,82,0
20.0,0,0,12,3,2,1,8,200,0
19.0,0,0,12,3,2,3,8,200,0
42.0,0,0,9,1,1,1,8,200,1
1.0,2,0,9,3,1,1,8,200,1
32.0,0,0,12,3,2,3,8,200,0
35.0,0,1,13,1,1,3,8,200,1
29.69911764705882,0,0,12,3,2,3,8,200,0
18.0,0,0,12,2,2,3,8,200,0
1.0,2,5,8,3,2,3,8,200,0
36.0,0,0,9,2,1,3,8,200,1
29.69911764705882,0,0,12,3,2,2,8,200,0
17.0,0,0,9,2,1,1,8,200,1
36.0,2,1,12,1,2,3,1,96,1
21.0,0,0,12,3,2,3,8,200,1
28.0,0,2,12,3,2,3,8,200,0
23.0,0,1,9,1,1,1,3,36,1
24.0,2,0,13,3,1,3,6,6,1
22.0,0,0,12,3,2,3,8,200,0
31.0,0,0,9,3,1,3,8,200,0
46.0,0,0,12,2,2,3,8,200,0
23.0,0,0,4,2,2,3,8,200,0
28.0,0,0,13,2,1,3,8,200,1
39.0,0,0,12,3,2,3,8,200,1
26.0,0,0,12,3,2,3,8,200,0
21.0,0,1,9,3,1,3,8,200,0
28.0,0,1,12,3,2,3,8,200,0
20.0,0,0,9,3,1,3,8,200,0
34.0,0,1,12,2,2,3,8,200,0
51.0,0,0,12,3,2,3,8,200,0
3.0,1,1,8,2,2,3,8,200,1
21.0,0,0,12,3,2,3,8,200,0
29.69911764705882,1,3,9,3,1,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,2,8,200,0
33.0,0,1,9,1,1,2,2,78,1
29.69911764705882,0,0,12,2,2,3,8,200,0
44.0,0,0,12,3,2,3,8,200,1
29.69911764705882,0,0,13,3,1,3,8,200,0
34.0,1,1,13,2,1,3,8,200,1
18.0,2,0,9,2,1,3,8,200,1
30.0,0,0,12,2,2,3,8,200,0
10.0,2,0,9,3,1,3,8,200,0
29.69911764705882,0,0,12,3,2,1,8,200,0
21.0,0,0,12,3,2,2,8,200,0
29.0,0,0,12,3,2,3,8,200,0
28.0,1,1,13,3,1,3,8,200,0
18.0,1,1,12,3,2,3,8,200,0
29.69911764705882,0,0,12,3,2,3,8,200,0
28.0,0,1,13,2,1,3,8,200,1
19.0,0,0,9,2,1,3,8,200,1
29.69911764705882,0,0,12,3,2,2,8,200,0
32.0,0,0,12,3,2,3,4,10,1
28.0,0,0,12,1,2,3,2,52,1
29.69911764705882,0,1,13,3,1,3,8,200,1
42.0,0,1,13,2,1,3,8,200,1
17.0,0,0,12,3,2,3,8,200,0
50.0,0,1,12,1,2,3,4,44,0
14.0,2,1,9,1,1,3,1,96,1
21.0,2,2,9,3,1,3,8,200,0
24.0,3,2,13,2,1,3,8,200,1
64.0,4,1,12,1,2,3,2,23,0
31.0,0,0,12,2,2,3,8,200,0
45.0,1,1,13,2,1,3,8,200,1
20.0,0,0,12,3,2,3,8,200,0
25.0,0,1,12,3,2,3,8,200,0
28.0,0,0,14,2,1,3,8,200,1
