age,parch,sibsp,title,class,sex,embarked,cabinLetter,NumberCabin
34.5,0,0,12,3,2,2,8,200
47.0,0,1,13,3,1,3,8,200
62.0,0,0,12,2,2,2,8,200
27.0,0,0,12,3,2,3,8,200
22.0,1,1,13,3,1,3,8,200
14.0,0,0,12,3,2,3,8,200
30.0,0,0,9,3,1,2,8,200
26.0,1,1,12,2,2,3,8,200
18.0,0,0,13,3,1,1,8,200
21.0,0,2,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
46.0,0,0,12,1,2,3,8,200
23.0,0,1,13,1,1,3,1,45
63.0,0,1,12,2,2,3,8,200
47.0,0,1,13,1,1,3,4,31
24.0,0,1,13,2,1,1,8,200
35.0,0,0,12,2,2,2,8,200
21.0,0,0,12,3,2,1,8,200
27.0,0,1,9,3,1,3,8,200
45.0,0,0,13,3,1,1,8,200
55.0,0,1,12,1,2,1,8,200
9.0,1,0,8,3,2,3,8,200
30.272590361445783,0,0,13,1,1,3,8,200
21.0,1,0,12,1,2,1,8,200
48.0,3,1,13,1,1,1,1,57
50.0,0,1,12,3,2,3,8,200
22.0,1,0,9,1,1,1,1,36
22.5,0,0,12,3,2,1,8,200
41.0,0,0,12,1,2,3,9,21
30.272590361445783,0,2,12,3,2,1,8,200
50.0,0,1,12,2,2,3,8,200
24.0,0,2,12,2,2,3,8,200
33.0,2,1,13,3,1,3,8,200
30.272590361445783,2,1,13,3,1,3,8,200
30.0,0,1,12,1,2,1,2,78
18.5,0,0,12,3,2,1,8,200
30.272590361445783,0,0,9,3,1,3,8,200
21.0,0,0,9,3,1,3,8,200
25.0,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
39.0,1,0,12,3,2,1,8,200
30.272590361445783,0,0,12,1,2,3,3,34
41.0,0,0,12,3,2,3,8,200
30.0,0,0,13,2,1,3,8,200
45.0,0,1,13,1,1,3,3,19
25.0,0,0,12,3,2,3,8,200
45.0,0,0,12,1,2,1,9,9
30.272590361445783,0,0,12,3,2,2,8,200
60.0,0,0,13,1,1,1,3,15
36.0,2,0,13,3,1,3,8,200
24.0,0,1,12,1,2,3,2,31
27.0,0,0,12,2,2,1,8,200
20.0,1,2,9,2,1,3,8,200
28.0,2,3,9,1,1,3,2,23
30.272590361445783,0,0,12,2,2,1,8,200
10.0,1,4,8,3,2,2,8,200
35.0,0,0,12,3,2,3,8,200
25.0,0,0,12,3,2,3,5,63
30.272590361445783,0,1,12,3,2,3,8,200
36.0,0,0,9,1,1,1,1,61
17.0,0,0,12,3,2,3,8,200
32.0,0,0,12,2,2,3,8,200
18.0,0,0,12,3,2,3,8,200
22.0,0,0,9,3,1,2,8,200
13.0,2,2,8,1,2,1,1,57
30.272590361445783,0,0,13,2,1,3,8,200
18.0,0,0,9,3,1,2,8,200
47.0,0,0,12,1,2,3,8,200
31.0,0,0,12,1,2,1,2,53
60.0,4,1,13,1,1,3,2,23
24.0,0,0,9,3,1,2,8,200
21.0,0,0,12,3,2,3,8,200
29.0,0,0,9,3,1,3,8,200
28.5,0,0,12,1,2,1,3,43
35.0,0,0,9,1,1,1,2,130
32.5,0,0,12,1,2,1,2,132
30.272590361445783,0,0,12,3,2,3,8,200
55.0,0,2,13,1,1,3,2,101
30.0,0,0,12,2,2,3,8,200
24.0,0,0,9,3,1,2,8,200
6.0,1,1,8,3,2,1,8,200
67.0,0,1,12,1,2,3,2,55
49.0,0,0,12,1,2,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,2,2,2,8,200
30.272590361445783,0,1,12,3,2,1,8,200
27.0,0,0,9,3,1,2,8,200
18.0,0,0,9,3,1,3,8,200
30.272590361445783,0,0,14,3,1,2,8,200
2.0,1,1,8,2,2,3,8,200
22.0,0,1,13,3,1,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
27.0,2,1,13,1,1,3,1,71
30.272590361445783,0,0,12,3,2,3,8,200
25.0,0,0,12,1,2,1,8,200
25.0,0,0,12,3,2,3,8,200
76.0,0,1,13,1,1,3,2,46
29.0,0,0,12,3,2,3,8,200
20.0,0,0,9,3,1,3,8,200
33.0,0,0,12,3,2,3,8,200
43.0,0,1,13,1,1,1,2,116
27.0,0,1,12,2,2,3,8,200
30.272590361445783,0,0,12,3,2,2,8,200
26.0,0,0,12,3,2,3,8,200
16.0,1,1,13,3,1,1,8,200
28.0,0,0,12,3,2,3,8,200
21.0,0,0,12,3,2,2,8,200
30.272590361445783,0,0,12,3,2,2,8,200
30.272590361445783,0,0,12,3,2,3,8,200
18.5,0,0,12,2,2,3,5,202
41.0,0,0,12,2,2,1,8,200
30.272590361445783,0,0,9,3,1,2,8,200
36.0,0,0,9,1,1,1,9,29
18.5,0,0,9,3,1,2,8,200
63.0,0,1,13,1,1,3,2,55
18.0,0,1,12,3,2,1,8,200
30.272590361445783,0,0,12,3,2,1,8,200
1.0,1,1,9,3,1,3,6,6
36.0,0,0,12,1,2,1,2,6
29.0,0,1,13,2,1,3,8,200
12.0,0,0,9,2,1,3,8,200
30.272590361445783,0,1,12,3,2,2,8,200
35.0,0,1,13,1,1,1,2,28
28.0,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,2,8,200
17.0,1,0,9,3,1,3,8,200
22.0,0,0,12,3,2,3,8,200
30.272590361445783,0,2,9,3,1,2,8,200
42.0,0,0,12,2,2,3,8,200
24.0,0,0,12,3,2,3,8,200
32.0,0,0,12,3,2,3,8,200
53.0,0,0,1,1,2,1,2,51
30.272590361445783,4,0,13,3,1,3,8,200
30.272590361445783,0,1,12,3,2,1,8,200
43.0,0,0,12,3,2,3,8,200
24.0,0,0,12,3,2,3,8,200
26.5,0,0,12,3,2,1,8,200
26.0,0,0,12,2,2,3,8,200
23.0,0,0,9,3,1,3,8,200
40.0,6,1,12,3,2,3,8,200
10.0,2,5,9,3,1,3,8,200
33.0,0,0,9,1,1,3,8,200
61.0,3,1,12,1,2,1,1,57
28.0,0,0,12,2,2,3,8,200
42.0,0,0,12,1,2,3,8,200
31.0,0,3,12,3,2,3,8,200
30.272590361445783,0,0,12,1,2,3,4,46
22.0,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,1,2,3,8,200
30.0,1,1,15,2,2,3,8,200
23.0,1,0,13,1,1,1,2,54
30.272590361445783,0,0,12,3,2,1,8,200
60.5,0,0,12,3,2,3,8,200
36.0,2,0,13,3,1,3,8,200
13.0,2,4,8,3,2,3,8,200
24.0,0,0,12,3,2,3,8,200
29.0,0,0,9,1,1,3,2,97
23.0,0,0,9,3,1,3,8,200
42.0,0,0,12,1,2,3,3,22
26.0,2,0,13,3,1,3,8,200
30.272590361445783,0,0,9,3,1,2,8,200
7.0,1,1,8,3,2,1,8,200
26.0,0,0,9,2,1,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
41.0,0,0,15,2,2,3,8,200
26.0,1,1,13,3,1,3,8,200
48.0,0,0,12,1,2,1,1,10
18.0,2,2,12,3,2,3,8,200
30.272590361445783,0,0,13,1,1,1,8,200
22.0,0,0,9,3,1,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
27.0,0,0,12,3,2,1,8,200
23.0,0,1,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,1,8,200
40.0,5,1,12,3,2,3,8,200
15.0,2,0,9,2,1,3,8,200
20.0,0,0,9,2,1,3,8,200
54.0,0,1,12,1,2,1,2,116
36.0,3,0,13,2,1,3,5,4
64.0,2,0,13,1,1,1,4,45
30.0,0,0,12,2,2,3,8,200
37.0,1,1,12,1,2,1,4,52
18.0,0,1,13,1,1,3,3,30
30.272590361445783,0,0,12,3,2,2,8,200
27.0,1,1,13,1,1,1,1,58
40.0,0,0,12,2,2,3,8,200
21.0,1,0,9,2,1,3,8,200
17.0,0,2,12,3,2,3,8,200
30.272590361445783,2,8,9,3,1,3,8,200
40.0,0,0,12,2,2,3,8,200
34.0,0,1,12,2,2,3,8,200
30.272590361445783,0,0,12,1,2,3,8,200
11.5,1,1,8,3,2,3,8,200
61.0,0,0,12,2,2,2,8,200
8.0,2,0,8,2,2,3,8,200
33.0,0,0,12,3,2,3,8,200
6.0,2,0,8,1,2,1,4,34
18.0,0,0,9,3,1,3,8,200
23.0,0,0,12,2,2,3,8,200
30.272590361445783,0,0,13,3,1,3,8,200
30.272590361445783,0,0,9,3,1,2,8,200
0.33,2,0,8,3,2,3,8,200
47.0,0,1,1,1,2,1,2,62
8.0,1,1,9,2,1,3,8,200
25.0,0,0,12,2,2,3,8,200
30.272590361445783,0,0,12,1,2,1,8,200
35.0,0,0,9,3,1,2,8,200
24.0,0,0,12,2,2,3,8,200
33.0,0,0,9,1,1,1,9,11
25.0,0,0,12,3,2,3,8,200
32.0,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
17.0,0,0,12,2,2,3,8,200
60.0,0,1,13,2,1,3,8,200
38.0,2,4,9,3,1,3,8,200
42.0,0,0,12,1,2,3,1,11
30.272590361445783,0,0,9,3,1,2,8,200
57.0,1,1,12,1,2,3,8,200
50.0,1,1,13,1,1,1,2,80
30.272590361445783,0,0,12,3,2,3,8,200
30.0,0,1,9,2,1,1,8,200
21.0,0,0,12,3,2,3,8,200
22.0,0,0,13,2,1,3,5,33
21.0,0,0,12,3,2,3,8,200
53.0,0,0,13,1,1,1,8,200
30.272590361445783,2,0,13,3,1,1,8,200
23.0,0,0,12,3,2,3,8,200
30.272590361445783,0,0,9,3,1,2,8,200
40.5,0,0,12,3,2,3,8,200
36.0,0,0,12,2,2,3,8,200
14.0,0,0,12,2,2,3,8,200
21.0,0,0,9,1,1,3,8,200
21.0,0,1,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,2,8,200
39.0,0,1,12,1,2,1,2,85
20.0,0,0,12,3,2,3,8,200
64.0,0,1,12,1,2,1,3,37
20.0,0,0,12,3,2,1,8,200
18.0,1,1,9,2,1,3,8,200
48.0,0,1,13,1,1,1,2,86
55.0,0,0,13,1,1,1,8,200
45.0,2,0,13,2,1,3,8,200
45.0,1,1,12,1,2,1,4,34
30.272590361445783,0,0,12,3,2,3,8,200
30.272590361445783,2,1,8,3,2,3,8,200
41.0,0,1,12,1,2,3,3,21
22.0,0,0,13,2,1,3,8,200
42.0,1,1,12,2,2,3,8,200
29.0,0,1,13,2,1,3,8,200
30.272590361445783,0,1,13,3,1,1,8,200
0.92,2,1,9,2,1,3,8,200
20.0,0,0,12,3,2,3,8,200
27.0,0,1,12,1,2,1,2,89
24.0,0,0,12,3,2,3,8,200
32.5,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,2,8,200
28.0,0,0,12,3,2,3,8,200
19.0,0,0,9,2,1,3,8,200
21.0,0,0,12,3,2,3,8,200
36.5,0,1,12,3,2,3,8,200
21.0,0,0,12,3,2,3,8,200
29.0,2,0,13,2,1,3,8,200
1.0,1,1,9,3,1,3,8,200
30.0,0,0,12,2,2,1,8,200
30.272590361445783,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,1,2,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
30.272590361445783,0,0,9,3,1,3,8,200
17.0,0,0,12,3,2,3,8,200
46.0,0,0,12,1,2,1,2,6
30.272590361445783,0,0,12,3,2,2,8,200
26.0,0,1,13,1,1,1,2,89
30.272590361445783,0,1,9,3,1,2,8,200
30.272590361445783,0,0,12,3,2,1,8,200
20.0,0,1,9,2,1,3,8,200
28.0,0,0,12,2,2,3,8,200
40.0,0,1,12,2,2,3,8,200
30.0,0,1,12,2,2,3,8,200
22.0,0,0,12,2,2,3,8,200
23.0,0,0,9,3,1,3,8,200
0.75,1,1,8,3,2,3,8,200
30.272590361445783,0,0,9,3,1,2,8,200
9.0,1,1,9,3,1,1,8,200
2.0,1,1,9,3,1,3,8,200
36.0,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
24.0,0,1,12,1,2,3,1,45
30.272590361445783,0,0,12,3,2,1,5,46
30.272590361445783,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,1,2,3,8,200
30.0,0,0,9,3,1,2,8,200
30.272590361445783,0,0,12,3,2,1,8,200
53.0,1,1,4,1,2,3,9,34
36.0,0,0,12,3,2,3,8,200
26.0,0,0,12,3,2,3,8,200
1.0,2,1,9,2,1,1,8,200
30.272590361445783,0,2,12,3,2,1,8,200
30.0,0,0,12,1,2,3,8,200
29.0,0,0,12,3,2,3,8,200
32.0,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,2,2,1,3,203
43.0,1,0,12,2,2,3,8,200
24.0,0,0,12,3,2,3,8,200
30.272590361445783,0,0,9,3,1,2,8,200
64.0,1,1,13,1,1,3,1,26
30.0,2,1,12,1,2,3,2,22
0.83,1,0,8,3,2,3,8,200
55.0,1,1,12,1,2,3,1,69
45.0,0,1,13,3,1,3,8,200
18.0,0,0,12,3,2,3,8,200
22.0,0,0,12,3,2,1,8,200
30.272590361445783,0,0,12,3,2,3,8,200
37.0,0,0,9,3,1,2,8,200
55.0,0,0,13,1,1,1,2,32
17.0,0,0,9,3,1,2,8,200
57.0,0,1,12,1,2,1,1,78
19.0,0,0,12,2,2,3,8,200
27.0,0,0,12,3,2,3,8,200
22.0,0,2,12,2,2,3,8,200
26.0,0,0,12,3,2,3,8,200
25.0,0,0,12,3,2,1,5,57
26.0,0,0,12,2,2,3,5,2
33.0,0,0,12,1,2,3,8,200
39.0,0,0,9,1,1,3,8,200
23.0,0,0,12,3,2,3,8,200
12.0,1,2,9,2,1,3,5,4
46.0,0,0,12,1,2,1,8,200
29.0,0,1,12,2,2,3,8,200
21.0,0,0,12,2,2,3,8,200
48.0,2,0,13,2,1,3,8,200
39.0,0,0,12,1,2,1,9,18
30.272590361445783,0,0,12,3,2,1,8,200
19.0,1,1,13,3,1,1,8,200
27.0,0,0,12,3,2,3,8,200
30.0,0,0,12,1,2,3,2,106
32.0,0,0,12,2,2,3,8,200
39.0,2,0,12,3,2,1,8,200
25.0,0,0,12,2,2,3,8,200
30.272590361445783,0,0,8,3,2,1,8,200
18.0,0,0,12,2,2,3,8,200
32.0,0,0,12,3,2,3,8,200
30.272590361445783,9,1,12,3,2,3,8,200
58.0,1,0,13,1,1,1,1,51
30.272590361445783,1,1,8,3,2,3,8,200
16.0,0,0,9,3,1,3,8,200
26.0,0,0,12,2,2,3,8,200
38.0,0,0,13,3,1,1,8,200
24.0,0,0,12,2,2,3,8,200
31.0,0,0,9,2,1,3,8,200
45.0,1,0,13,1,1,1,3,10
25.0,0,0,12,2,2,3,8,200
18.0,0,0,12,2,2,3,8,200
49.0,2,1,12,2,2,3,8,200
0.17,2,1,9,3,1,3,8,200
50.0,0,0,12,1,2,3,4,60
59.0,0,2,13,1,1,3,2,101
30.272590361445783,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,2,8,200
30.0,0,1,13,3,1,3,8,200
14.5,2,8,8,3,2,3,8,200
24.0,1,1,13,2,1,1,8,200
31.0,0,0,13,2,1,3,8,200
27.0,0,0,12,3,2,3,8,200
25.0,0,1,13,1,1,1,4,50
30.272590361445783,9,1,13,3,1,3,8,200
30.272590361445783,0,1,12,3,2,1,8,200
22.0,0,0,9,3,1,3,8,200
45.0,1,0,13,1,1,1,8,200
29.0,0,0,12,2,2,1,8,200
21.0,0,1,12,2,2,3,8,200
31.0,0,0,9,1,1,1,4,39
49.0,0,0,12,1,2,3,1,52
44.0,0,0,12,2,2,3,8,200
54.0,1,1,13,1,1,3,9,34
45.0,0,0,9,1,1,1,8,200
22.0,0,2,9,3,1,3,8,200
21.0,0,0,12,2,2,3,8,200
55.0,0,0,12,1,2,3,2,39
5.0,2,4,8,3,2,3,8,200
30.272590361445783,0,0,12,3,2,2,8,200
26.0,0,0,12,3,2,2,8,200
30.272590361445783,0,0,13,3,1,3,8,200
19.0,0,1,13,3,1,3,8,200
30.272590361445783,0,0,12,2,2,3,8,200
24.0,2,1,9,2,1,3,8,200
24.0,0,0,12,3,2,3,8,200
57.0,0,0,12,2,2,3,8,200
21.0,0,0,12,3,2,2,8,200
6.0,1,3,8,3,2,3,8,200
23.0,0,0,12,1,2,3,1,24
51.0,1,0,13,1,1,3,3,28
13.0,2,0,8,3,2,3,8,200
47.0,0,0,12,2,2,3,8,200
29.0,1,3,12,3,2,3,8,200
18.0,0,1,13,1,1,3,2,31
24.0,0,0,12,3,2,2,8,200
48.0,1,1,13,1,1,1,1,41
22.0,0,0,12,3,2,3,8,200
31.0,0,0,12,3,2,2,8,200
30.0,0,0,9,1,1,3,2,7
38.0,0,1,12,2,2,3,8,200
22.0,1,0,9,1,1,1,8,200
17.0,0,0,12,1,2,3,8,200
43.0,0,1,12,1,2,1,3,40
20.0,0,0,12,2,2,1,3,38
23.0,0,1,12,2,2,3,8,200
50.0,1,1,12,1,2,1,2,80
30.272590361445783,0,0,9,3,1,2,8,200
3.0,1,1,9,3,1,3,8,200
30.272590361445783,0,0,9,3,1,2,8,200
37.0,0,1,13,1,1,2,2,78
28.0,0,0,9,3,1,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
39.0,0,0,3,1,1,1,2,105
38.5,0,0,12,3,2,3,8,200
30.272590361445783,0,0,12,3,2,3,8,200
30.272590361445783,1,1,8,3,2,1,8,200
